session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
6,2,23,24,10,9.9557,10.01,9.0827,15.848,0.0060426977,0.03760255,3.2500895400000003,10.44692
6,2,24,25,10,9.9606,10.066,10.989099999999999,15.802,0.01037357589,0.07090961,3.62267144,9.479012
6,2,25,26,10,9.961099999999998,10.064,9.613800000000001,12.47,0.00212536407,0.005898448,1.767350597,5.248312
6,2,26,27,10,9.905600000000002,10.011,6.975099999999999,14.251,0.0026831470870000004,0.01404083,2.1809748099999995,5.869828
6,2,27,28,10,9.949300000000001,10.034,9.491399999999999,13.305,0.0044943601799999995,0.01814413,1.8432915099999998,7.976419
6,2,28,29,10,9.929800000000002,9.962,7.154000000000001,11.105,0.0009520853899999999,0.002628655,1.2542128000000001,5.604153
7,2,0,1,10,9.864300000000002,10.071,13.1154,18.328,0.02014448912,0.1177446,5.947971440000001,26.50046
7,2,1,2,10,9.910000000000002,10.0,8.9685,18.167,0.0071903487799999995,0.01699017,4.01923191,8.726736
7,2,2,3,10,9.923,10.086,9.6287,13.176,0.011005095480000001,0.05366308,2.5739578979999997,7.501066
7,2,3,4,10,9.9655,10.005,11.451799999999999,15.004,0.0026543032499999997,0.006860163,1.2847591299999999,3.405582
7,2,4,5,10,9.9382,9.98,7.625699999999999,15.722,0.0035422734899999996,0.01541931,2.3823146680000002,7.734801
7,2,5,6,10,9.9556,9.995,8.983,12.291,0.005587499197,0.02622246,0.732064352,3.664395
7,2,6,7,10,9.9514,10.013,6.8967,10.103,0.0016701615700000002,0.002917184,1.831465361,6.734781
7,2,7,8,10,9.961,10.023,7.772799999999999,11.651,0.0028370297870000004,0.01910583,1.550349784,3.987143
7,2,8,9,10,9.981,10.004,8.100800000000001,12.882,0.0008975891500000001,0.003237731,0.5020805490000001,0.8879818
7,2,9,10,10,9.9226,10.003,7.529300000000001,12.583,0.00792444109,0.03901312,2.8929677000000003,8.645968
7,2,10,11,10,9.9699,10.037,8.885900000000001,11.858,0.0023401470599999996,0.01336766,1.56897932,4.906878
7,2,11,12,10,9.9733,10.009,7.650800000000001,10.912,0.0011604567400000001,0.003013354,0.8322865499999998,2.036031
7,2,12,13,10,9.955899999999998,10.015,5.949000000000001,10.75,0.00303257495,0.01035434,1.26988755,3.851213
7,2,13,14,10,9.9907,10.029,6.681699999999999,9.023,0.00081744824,0.003526251,0.17800006699999998,0.492222
7,2,14,15,10,9.9659,10.013,4.9323999999999995,10.872,0.001686190031,0.006828087,0.9380651999999999,2.75465
7,2,15,16,10,9.995800000000001,10.042,6.3798,9.188,0.000468030065,0.0008334769,0.263645087,0.5150139
7,2,16,17,10,9.9701,10.0,4.501100000000001,9.983,0.0022119252269999995,0.01112374,1.0051214290000001,2.42768
7,2,17,18,10,10.008,10.039,8.73,12.624,0.002381825805,0.01670166,0.42140294999999994,0.6695712
7,2,18,19,10,9.963399999999998,9.974,4.3969000000000005,7.654,0.0004808517710000001,0.001186103,1.4528122199999998,4.494972
7,2,19,20,10,9.9732,10.014,7.869,11.669,0.002157428738,0.009296492,1.32271657,4.425884
7,2,20,21,10,9.9546,9.973,3.8761,5.423,0.0011604574499999999,0.004680293,0.2934543769,1.03235
7,2,21,22,10,9.9628,10.044,6.2038,9.006,0.00309027719,0.01054667,0.8546073900000002,3.829708
7,2,22,23,10,9.987100000000002,10.005,5.3414,8.621,0.0006219033670000001,0.002243975,0.40662788999999994,0.9955894
7,2,23,24,10,9.951,10.023,5.7832,11.314,0.0038339994099999995,0.02583783,1.45490938,3.725372
7,2,24,25,10,9.9635,9.976,6.647500000000001,8.144,0.000644341598,0.001859295,0.0800902698,0.229726
7,2,25,26,10,9.939699999999998,9.982,6.111299999999999,10.817,0.001240601137,0.004904733,0.9199791420000002,1.915129
7,2,26,27,10,9.9968,10.022,7.378699999999999,11.838,0.001394470775,0.005898444,0.518733649,1.049658
7,2,27,28,10,9.956700000000001,10.021,6.5221,12.733,0.0011764858640000001,0.00452001,1.44646817,3.254398
7,2,28,29,10,9.958499999999999,9.979,7.426,10.712,0.0007020441299999999,0.00160284,0.21172720699999997,0.7315877
8,2,0,1,10,9.8107,9.979,10.0383,32.94,0.03861883007999999,0.1378763,15.91177894,78.47056
8,2,1,2,10,9.887899999999998,9.944,6.347799999999999,11.263,0.0020452199399999997,0.005289361,1.28101916,3.536149
8,2,2,3,10,9.9423,9.96,5.581300000000001,6.424,0.000891180085,0.001602857,0.10407134,0.3378603
8,2,3,4,10,9.9193,9.952,4.7445,7.745,0.0034076375199999995,0.01686189,0.630271994,1.460593
8,2,4,5,10,9.9402,9.964,5.2993,5.999,0.00040712098400000004,0.0008334738,0.1392592572,0.8006029
8,2,5,6,10,9.9479,9.968,4.5574,7.505,0.001006582978,0.003333897,0.601485491,1.953245
8,2,6,7,10,9.9638,9.987,4.0302,5.518,0.00068601495,0.002147803,0.0920264868,0.2488656
8,2,7,8,10,9.922999999999998,9.96,6.396199999999999,9.447,0.00303898382,0.01365619,1.186580545,3.587033
8,2,8,9,10,9.9698,10.019,7.9121,9.648,0.000961702481,0.001955462,0.416067212,1.409837
8,2,9,10,10,9.9879,10.037,6.6414,10.862,0.003853223587,0.01875321,1.3099144016,5.279964
8,2,10,11,10,9.9819,10.039,5.4012,7.8,0.0009488805139999999,0.002756875,0.237017677,0.6443937
8,2,11,12,10,9.9798,10.044,5.7031,9.632,0.0015130831959999998,0.004712334,1.19284602,3.582475
8,2,12,13,10,9.965699999999998,9.988,8.026799999999998,11.341,0.0005930507269999999,0.0009617005,0.211697956,0.3884808
8,2,13,14,10,9.947399999999998,9.971,6.3942000000000005,13.337,0.003183238058,0.0120854,1.8663365219999999,4.119302
8,2,14,15,10,9.980599999999999,10.029,7.923900000000001,11.578,0.00259018762,0.01493845,0.343993193,1.283672
8,2,15,16,10,9.959,10.005,5.9201,8.599,0.00237540788,0.005064975,1.8954248100000002,4.795321
8,2,16,17,10,9.976500000000001,10.018,9.176599999999999,10.668,0.0033499322229999995,0.01339973,0.6992955719999999,3.181284
8,2,17,18,10,9.9681,9.997,3.5215000000000005,5.543,0.00051931918,0.002211917,0.5512736690000001,1.60755
8,2,18,19,10,9.975800000000001,10.035,7.769000000000001,10.919,0.0026895628199999997,0.01391263,0.96658232,2.889488
8,2,19,20,10,9.9588,9.989,5.7612000000000005,8.184,0.0008783551939999998,0.002179854,0.638855873,1.81874
8,2,20,21,10,9.9511,10.001,9.126100000000001,13.836,0.0042282890499999995,0.02211916,1.4231899809999997,5.408281
8,2,21,22,10,9.958299999999998,9.981,3.5256999999999996,5.887,0.0009007958100000001,0.003430082,0.480965797,1.211608
8,2,22,23,10,9.9485,10.003,8.1011,9.227,0.00232411804,0.01121988,0.54744847,1.789786
8,2,23,24,10,9.9429,9.975,3.5564,5.234,0.0007308946500000001,0.001602836,0.6990268058000002,2.512068
8,2,24,25,10,9.945900000000002,9.981,7.978500000000001,10.961,0.0018785275300000005,0.006219014,0.56211225,2.262303
8,2,25,26,10,9.944399999999998,9.973,2.1289,4.688,0.000471235365,0.001186102,0.48925421799999996,1.303082
